Invoice number	5306086325																
Invoice date	6/30/25																
Due date																	
Billing ID	7541-9412-8681																
Billing account ID	01075F-52A925-744C3F																
Currency	HKD																
Currency exchange rate	7.8381																
Total amount due	$0.00 																
Billing account name	Billing account ID	Project name	Project ID	Project hierarchy	Service description	Service ID	SKU description	SKU ID	Consumption model description	Credit type	Cost type	Usage start date	Usage end date	Usage amount	Usage unit	Unrounded Cost ($)	Cost ($)
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Compute Engine	6F81-5844-456A	Network Inter Region Data Transfer Out from APAC to Sao Paulo	F355-6044-09C2		PROMOTION	Usage	6/30/25	6/30/25			-0.000003	0
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Networking	E505-1604-58F8	Network Intelligence Center Connectivity Tests Runs	C985-127E-325E	Default		Usage	6/29/25	6/29/25	1	count	0	0
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Gemini API	AEFD-7695-64FA	Generate content input token count Gemini 2.5 Pro long input text	67F1-97F9-6ED4	Default		Usage	6/28/25	6/30/25	23,406,920	count	458.661459	458.66
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Gemini API	AEFD-7695-64FA	Generate content cached input token count gemini 2.5 pro long input	3D9C-7AF8-FFBC	Default		Usage	6/28/25	6/28/25	60,773,232	count	297.714723	297.71
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Gemini API	AEFD-7695-64FA	Generate content input token count gemini 2.5 flash long input text	56F0-A86F-DC9F	Default		Usage	6/28/25	6/28/25	9,033,203	count	21.240797	21.24
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Gemini API	AEFD-7695-64FA	Generate content cached input token count gemini 2.5 flash long input text	5FCD-DE01-0A4B	Default		Usage	6/28/25	6/28/25	10,505,574	count	3.087864	3.09
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Gemini API	AEFD-7695-64FA	Generate content cached input token count gemini 2.5 flash input short text	5CDC-4C82-2AEC	Default		Usage	6/28/25	6/30/25	446,865	count	0.131341	0.13
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Gemini API	AEFD-7695-64FA	Generate content cached input token count gemini 2.5 flash input short text	5CDC-4C82-2AEC		PROMOTION	Usage	6/28/25	6/30/25			-0.131341	-0.13
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Gemini API	AEFD-7695-64FA	Generate content cached input token count gemini 2.5 flash long input text	5FCD-DE01-0A4B		PROMOTION	Usage	6/28/25	6/28/25			-3.087864	-3.09
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Gemini API	AEFD-7695-64FA	Generate content input token count gemini 2.5 flash long input text	56F0-A86F-DC9F		PROMOTION	Usage	6/28/25	6/28/25			-21.240797	-21.24
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Gemini API	AEFD-7695-64FA	Generate content cached input token count gemini 2.5 pro long input	3D9C-7AF8-FFBC		PROMOTION	Usage	6/28/25	6/28/25			-297.714723	-297.71
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Gemini API	AEFD-7695-64FA	Generate content input token count Gemini 2.5 Pro long input text	67F1-97F9-6ED4		PROMOTION	Usage	6/28/25	6/30/25			-458.661459	-458.66
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Gemini API	AEFD-7695-64FA	Generate content input token count Gemini 2.5 Pro short input text	2D1C-F790-3C09	Default		Usage	6/27/25	6/30/25	3,950,107	count	38.701319	38.7
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Gemini API	AEFD-7695-64FA	Generate content output token count Gemini 2.5 Pro short output text	0F51-429B-C2DC	Default		Usage	6/27/25	6/30/25	309,021	count	24.221069	24.22
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Gemini API	AEFD-7695-64FA	Generate content cached input token count gemini 2.5 pro short input	9465-C223-0CE9	Default		Usage	6/27/25	6/30/25	6,784,644	count	16.485233	16.49
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Gemini API	AEFD-7695-64FA	Generate content output token count gemini 2.5 flash short input text	911A-8880-A243	Default		Usage	6/27/25	6/30/25	26,812	count	0.525339	0.53
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Compute Engine	6F81-5844-456A	Network Inter Region Data Transfer Out from APAC to Sao Paulo	F355-6044-09C2	Default		Usage	6/27/25	6/30/25	0	gibibyte	0.000003	0
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Gemini API	AEFD-7695-64FA	Generate content output token count gemini 2.5 flash short input text	911A-8880-A243		PROMOTION	Usage	6/27/25	6/30/25			-0.525339	-0.53
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Gemini API	AEFD-7695-64FA	Generate content cached input token count gemini 2.5 pro short input	9465-C223-0CE9		PROMOTION	Usage	6/27/25	6/30/25			-16.485233	-16.49
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Gemini API	AEFD-7695-64FA	Generate content output token count Gemini 2.5 Pro short output text	0F51-429B-C2DC		PROMOTION	Usage	6/27/25	6/30/25			-24.221069	-24.22
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Gemini API	AEFD-7695-64FA	Generate content input token count Gemini 2.5 Pro short input text	2D1C-F790-3C09		PROMOTION	Usage	6/27/25	6/30/25			-38.701319	-38.7
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Compute Engine	6F81-5844-456A	Network Inter Region Data Transfer Out from APAC to Paris	0B06-3D2E-9BA7	Default		Usage	6/25/25	6/25/25	0	gibibyte	0.000001	0
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Compute Engine	6F81-5844-456A	Network Inter Region Data Transfer Out from APAC to Paris	0B06-3D2E-9BA7		PROMOTION	Usage	6/25/25	6/25/25			-0.000001	0
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Compute Engine	6F81-5844-456A	Network Internet Data Transfer Out from APAC to Africa	7754-7A78-680E		PROMOTION	Usage	6/25/25	6/27/25			-0.000047	0
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Compute Engine	6F81-5844-456A	E2 Custom Instance Core running in APAC	F1F0-D469-8A46	Default		Usage	6/24/25	6/30/25	626.786	hour	130.277738	130.28
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Compute Engine	6F81-5844-456A	E2 Custom Instance Ram running in APAC	8CA7-5B88-D299	Default		Usage	6/24/25	6/30/25	1,684.49	gibibyte hour	46.928959	46.93
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Compute Engine	6F81-5844-456A	Network Inter Region Data Transfer Out from APAC to Mumbai	FEF8-370E-4A22	Default		Usage	6/24/25	6/30/25	0	gibibyte	0.000051	0
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Compute Engine	6F81-5844-456A	Network Inter Region Data Transfer Out from APAC to Mumbai	FEF8-370E-4A22		PROMOTION	Usage	6/24/25	6/30/25			-0.000051	0
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Compute Engine	6F81-5844-456A	E2 Custom Instance Ram running in APAC	8CA7-5B88-D299		PROMOTION	Usage	6/24/25	6/30/25			-46.928959	-46.93
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Compute Engine	6F81-5844-456A	E2 Custom Instance Core running in APAC	F1F0-D469-8A46		PROMOTION	Usage	6/24/25	6/30/25			-130.277738	-130.28
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Compute Engine	6F81-5844-456A	Network Inter Region Data Transfer Out from APAC to Singapore	6540-B94F-D381		PROMOTION	Usage	6/23/25	6/26/25			-0.000003	0
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Compute Engine	6F81-5844-456A	Network Inter Region Data Transfer Out from APAC to Netherlands	B0E6-AE81-1D8D		PROMOTION	Usage	6/23/25	6/27/25			-0.000004	0
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Compute Engine	6F81-5844-456A	Network Inter Region Data Transfer Out from APAC to Zurich	D041-B8A1-6E0B		PROMOTION	Usage	6/22/25	6/30/25			-0.000004	0
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Compute Engine	6F81-5844-456A	Network Inter Region Data Transfer Out from APAC to Finland	B634-22B1-7AAB		PROMOTION	Usage	6/22/25	6/26/25			-0.000006	0
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Compute Engine	6F81-5844-456A	E2 Instance Core running in APAC	92C8-7C92-6AEF	Default		Usage	6/20/25	6/24/25	734.002	hour	145.297711	145.3
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Compute Engine	6F81-5844-456A	E2 Instance Ram running in APAC	FD4D-A383-8DAB	Default		Usage	6/20/25	6/24/25	2,936.01	gibibyte hour	77.900703	77.9
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	VM Manager	5E18-9A83-2867	VM Manager Usage	785A-57EB-25E2	Default		Usage	6/20/25	6/20/25	1	count	0	0
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Compute Engine	6F81-5844-456A	E2 Instance Ram running in APAC	FD4D-A383-8DAB		PROMOTION	Usage	6/20/25	6/24/25			-77.900703	-77.9
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Compute Engine	6F81-5844-456A	E2 Instance Core running in APAC	92C8-7C92-6AEF		PROMOTION	Usage	6/20/25	6/24/25			-145.297711	-145.3
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Compute Engine	6F81-5844-456A	Network Inter Region Data Transfer Out from APAC to Warsaw	1D1A-8E88-9BED	Default		Usage	6/19/25	6/26/25	0.02	gibibyte	0.012404	0.01
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Compute Engine	6F81-5844-456A	Network Inter Region Data Transfer Out from APAC to Zurich	D041-B8A1-6E0B	Default		Usage	6/19/25	6/30/25	0	gibibyte	0.000004	0
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Compute Engine	6F81-5844-456A	Network Inter Region Data Transfer In from Warsaw to APAC	993A-9F9E-5A4E	Default		Usage	6/19/25	6/26/25	0.001	gibibyte	0	0
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Compute Engine	6F81-5844-456A	Network Inter Region Data Transfer Out from APAC to London	AC6F-9614-3637		PROMOTION	Usage	6/19/25	6/30/25			-0.00001	0
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Compute Engine	6F81-5844-456A	Network Inter Region Data Transfer Out from APAC to EMEA	D799-2DAD-49C7		PROMOTION	Usage	6/19/25	6/29/25			-0.000023	0
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Compute Engine	6F81-5844-456A	Network Inter Region Data Transfer Out from APAC to Warsaw	1D1A-8E88-9BED		PROMOTION	Usage	6/19/25	6/26/25			-0.012404	-0.01
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Compute Engine	6F81-5844-456A	Network Inter Region Data Transfer Out from APAC to EMEA	D799-2DAD-49C7	Default		Usage	6/18/25	6/30/25	0	gibibyte	0.000023	0
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Compute Engine	6F81-5844-456A	Network Inter Region Data Transfer Out from APAC to Los Angeles	00EA-CCDD-9909	Default		Usage	6/18/25	6/29/25	0	gibibyte	0.000006	0
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Compute Engine	6F81-5844-456A	Network Inter Region Data Transfer Out from APAC to Singapore	6540-B94F-D381	Default		Usage	6/18/25	6/26/25	0	gibibyte	0.000003	0
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Compute Engine	6F81-5844-456A	Network Inter Region Data Transfer Out from APAC to Los Angeles	00EA-CCDD-9909		PROMOTION	Usage	6/18/25	6/29/25			-0.000006	0
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Compute Engine	6F81-5844-456A	Network Inter Zone Data Transfer Out	DE9E-AFBC-A15A		PROMOTION	Usage	6/18/25	6/29/25			-0.000195	0
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Compute Engine	6F81-5844-456A	Network Inter Region Data Transfer Out from APAC to Finland	B634-22B1-7AAB	Default		Usage	6/17/25	6/30/25	0	gibibyte	0.000006	0
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Gemini API	AEFD-7695-64FA	GenerateContent output token count for Gemini 1.5 Flash when input is up to 128k tokens	7DF3-1F04-931A	Default		Usage	6/11/25	6/17/25	8,819	count	0.020716	0.02
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Gemini API	AEFD-7695-64FA	GenerateContent input token count for Gemini 1.5 Flash when input is up to 128k tokens	D8AE-AF3C-415B	Default		Usage	6/11/25	6/17/25	3,992	count	0.002327	0
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Gemini API	AEFD-7695-64FA	GenerateContent input token count for Gemini 1.5 Flash when input is up to 128k tokens	D8AE-AF3C-415B		PROMOTION	Usage	6/11/25	6/17/25			-0.002327	0
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Compute Engine	6F81-5844-456A	Network Internet Data Transfer Out from APAC to South America	B9DE-B1EE-C89A		PROMOTION	Usage	6/11/25	6/29/25			-0.019405	-0.02
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Gemini API	AEFD-7695-64FA	GenerateContent output token count for Gemini 1.5 Flash when input is up to 128k tokens	7DF3-1F04-931A		PROMOTION	Usage	6/11/25	6/17/25			-0.020716	-0.02
